,,,PRICE,,,,,,,,,,,BRAKES,,,DIMENSIONS,,,,,SAFETY,,,,,,,EQUIPMENT,,,,,,,,,,,
Nissan ,PathFinder,2024,"$1,243,000","$1,280,000",8,2100,A,Gas,70,10,no,no,190,disc_brakes,disc_brakes,ABS/EBD/BA,5,1.9,1.8,2.9,high,yes,yes,yes,,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,Hashback,SUV-FullSize
Nissan ,Frontier,2024,"$831,000","$500,000",5,2000,A/S,Gas/Diesel,80,9,yes,yes,1000,disc_brakes,drum_brakes,ABS/EBD/BA,5.2,1.8,1.8,3.1,extra_high,yes,yes,yes,,yes,5,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,Pickup,Pickup-MidSize
Mazda,2,2024,"$288,900","$388,900",5,1613,A/S,Gas,44,19.1,no,no,440,disc_brakes,drum_brakes,ABS/EBD/BA/DSC/TCS,4.34,1.98,1.47,2.562,normal,yes,yes,yes,no,yes,2,yes,yes,,yes,yes,yes,no,no,yes,no,no,Sedan,Sedan-SmallSize
Mazda,2,2024,"$318,900","$388,900",5,1601,A/S,Gas,44,18.8,no,no,215,disc_brakes,drum_brakes,ABS/EBD/BA/DSC/TCS/LDW,4.08,1.98,1.49,2.562,normal,yes,yes,yes,no,yes,2,no,yes,,yes,yes,yes,no,no,yes,no,no,Hatchback,Ciudad
Mazda,3,2024,"$392,900","$542,900",5,1881,A/S,Gas,51,14.9,no,no,719,disc_brakes,disc_brakes,ABS/EBD/BA/DSC/TCS/LDW,4.66,2.02,1.44,2.672,normal,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,Sedan,Sedan-MidSize
Mazda,3,2024,"$448,900","$558,900",5,1870,A,Gas,51,15.2,no,no,569,disc_brakes,disc_brakes,ABS/EBD/BA/DSC/TCS/LDW,4.45,2.02,1.4,2.672,normal,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,Hatchback,Sedan-SmallSize
Mazda,CX-3,2024,"$380,900","$450,900",5,1762,A,Gas,48,17.3,no,no,240,disc_brakes,disc_brakes,ABS/EBD/BA/DSC/TCS,4.27,2.04,1.54,2.57,high,yes,yes,yes,no,yes,4,no,yes,no,yes,yes,yes,no,yes,yes,no,no,SUV,SUV-SmallSize
Mazda,CX-5,2024,"$558,900","$688,900",5,2115,A,Gas,56,13.7,no,no,871,disc_brakes,disc_brakes,ABS/EBD/BA/DSC/TCS/LDW,4.57,2.11,1.68,2.611,high,yes,yes,yes,no,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,SUV,SUV-MidSize
Mazda,CX-30,2024,"$459,900","$545,900",5,2042,A,Gas,51,14.4,no,no,572,disc_brakes,disc_brakes,ABS/EBD/BA/DSC/TCS,4.29,2.04,1.56,2.572,high,yes,yes,yes,yes,yes,5,no,yes,no,yes,yes,yes,no,yes,yes,no,no,SUV,SUV-SmallSize
Mazda,CX-50,2024,"$805,900",N/A,5,2272,A,Gas,60,13.3,yes,no,889,disc_brakes,disc_brakes,ABS/EBD/BA/DSC/TCS,4.72,2.05,1.62,2.76,high,yes,yes,yes,yes,yes,5,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,SUV,SUV-FullSize
Mazda,CX-90,2024,"$1,138,000",N/A,8,2918,A,Gas,74,13.1,yes,no,423,disc_brakes,disc_brakes,ABS/EBD/BA/DSC/TCS/LDW,5.1,2.15,1.74,3.1985,high,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,SUV,SUV-ExtendedSize
Mazda,MX-5,2024,"$619,900",N/A,2,1242,A/S,Gas,45,16.1,no,no,127,disc_brakes,disc_brakes,ABS/EBD/BA/DSC/TCS,3.91,1.91,1.24,2.5572,normal,yes,yes,no,no,yes,4,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,Roadster,Ciudad
Ford,Edge,2024,"$1,070,000","$1,240,000",5,1871,A,Gas,70,14,yes,no,679,disc_brakes,disc_brakes,ABS/EBD/RSC/AdvanceTrac,4.7,2.1,4.7,3.1985,high,yes,yes,yes,yes,yes,5,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,SUV,SUV-ExtendedSize
Ford,Bronco,2024,"$1,438,000","$1,564,000",5,2157,A,Gas,60,12,yes,no,679,disc_brakes,disc_brakes,ABS/EBD/RSC/AdvanceTrac,4.81,1.93,1.85,4.46,high/0.261,yes,yes,yes,no,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,SUV,SUV-ExtendedSize
Ford,Territory,2024,"$597,000","$772,000",5,2097,A,Gas,60,14,no,no,448,disc_brakes,disc_brakes,ABS/EBD/TCS,4.62,1.93,1.7,2.76,high,yes,yes,yes,no,yes,5,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,SUV,SUV-FullSize
Ford,Escape HEV,2024,"$766,000","$964,000",5,1671,A,Gas/Hybrid,54.1,16.6,no,no,450,disc_brakes,disc_brakes,ABS/EBD/RSC/AdvanceTrac,4.57,2.17,1.67,2.71,high,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,SUV,SUV-MidSize
Ford,Expedition,2024,"$1,617,000","$1,897,000",8,2628,A,Gas,106,8.08,yes,no,679,disc_brakes,disc_brakes,ABS/EBD/RSC/AdvanceTrac,5.63,2.37,1.94,3.1985,high/0.248,yes,yes,yes,no,yes,5,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,SUV,SUV-ExtendedSize
Ford,Maverick,2024,"$702,000","$908,000",5,1616,A,Gas,64,11.1,yes,yes,1100,disc_brakes,disc_brakes,ABS/EBD/RSC/AdvanceTrac,5.07,1.97,1.74,3.07,high/0.218,yes,yes,yes,yes,yes,5,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,Pickup,Pickup-MidSize
Ford,Maverick HEV,2024,"$842,000",N/A,5,1666,A,Gas/Hybrid,52,15.7,no,yes,1100,disc_brakes,disc_brakes,ABS/EBD/RSC/AdvanceTrac,5.07,1.97,1.74,3.07,high/0.211,yes,yes,yes,yes,yes,5,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,Pickup,Pickup-MidSize
Ford,Mustang Mach E,2024,"$1,445,000","$1,704,000",5,2090,A,Electric,91 kWh,,yes,no,500,disc_brakes,disc_brakes,ABS/EBD/RSC/AdvanceTrac,4.74,2.09,1.61,2.76033,high,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,SUV,SUV-FullSize
Ford,Ranger,2024,"$818,000","$1,074,000",5,2415,A,Gas/Diesel,80,9.35,yes,yes,1233,disc_brakes,disc_brakes,ABS/EBD/RSC/AdvanceTrac,5.35,1.91,1.88,3.27,high,yes,yes,yes,yes,yes,5,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,Pickup,Pickup-MidSize
Ford,Lobo,2024,"$1,238,000","$1,786,000",5,3197,A,Gas,98,8.9,yes,yes,2100,disc_brakes,disc_brakes,ABS/EBD/RSC/AdvanceTrac,5.88,2.02,1.95,3.4225,high/0.239,yes,yes,yes,no,yes,4,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Pickup,Pickup-FullSize
Ford,Lobo HEV,2024,"$1,786,000",N/A,5,3333,A,Gas/Hybrid,115,9.7,yes,yes,2100,disc_brakes,disc_brakes,ABS/EBD/RSC/AdvanceTrac,5.88,2.02,1.95,3.4225,high/0.239,yes,yes,yes,no,yes,4,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Pickup,Pickup-FullSize
VW,Nivus,2024,"$479,070",N/A,5,1312,A,Gas,52,16.7,no,no,415,disc_brakes,disc_brakes,ABS/ASR/EDL/ESC,4.26,1.75,1.49,2.56,normal,yes,yes,yes,no,yes,5,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,SUV,SUV-SmallSize
VW,Polo,2024,"$318,970","$408,970",5,1570,A/S,Gas,52,16.8,no,no,300,disc_brakes,drum_brakes,ABS/ASR/ESC,4.07,1.75,1.47,2.56,normal,yes,yes,no,no,yes,3,no,yes,no,yes,yes,yes,no,no,yes,no,no,Hatchback,Ciudad
VW,Taos,2024,"$495,070","$590,070",5,1940,A,Gas,50,16.3,no,no,500,disc_brakes,disc_brakes,ABS/ASR/EDL/ESC/EBV,4.46,1.84,1.63,2.68,high,yes,yes,yes,no,yes,5,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,SUV,SUV-MidSize
VW,Taigun,2024,"$424,070","$495,070",5,1269,A,Gas,50,17,no,no,385,disc_brakes,drum_brakes,ABS/ASR/EBV/ESC,4.22,1.76,1.57,2.65,high,yes,yes,yes,no,yes,5,yes,yes,no,yes,yes,yes,no,no,yes,no,no,SUV,SUV-SmallSize
VW,Tiguan,2024,"$577,070","$814,070",7,2340,A,Gas,58,14.3,yes,no,760,disc_brakes,disc_brakes,ABS/EDL/ASR/ESC/EBV,4.72,1.83,1.66,2.79,high,yes,yes,yes,no,yes,5,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,SUV,SUV-Fullsize
VW,Terramont,2024,"$954,070","$1,181,070",7,2690,A,Gas,70.4,11.6,no,no,1572,disc_brakes,disc_brakes,ABS/ASR/ESC/EBV/EDS,5.09,1.99,1.78,2.98,high,yes,yes,yes,no,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,SUV,SUV-ExtendedSize
VW,T-cross,2024,"$417,870",N/A,5,1263,A,Gas,50,16.8,no,no,373,disc_brakes,drum_brakes,ABS/ASR/ESC/EBV/EDS,4.19,1.76,1.56,2.65,high,yes,yes,yes,no,no,5,no,no,no,yes,yes,no,no,no,no,no,no,SUV,SUV-SmallSize
VW,Virtus,2024,"$326,470","$422,470",5,1657,A/S,Gas,50,17.5,no,no,521,disc_brakes,drum_brakes,ABS/ASR/ESC/EDS,4.56,1.75,1.48,2.65,normal,yes,yes,yes,no,yes,5,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,Sedan,Sedan-MidSize
VW,Jetta,2024,"$424,770","$549,770",5,1860,A,Gas,50,18.5,no,no,510,disc_brakes,disc_brakes,ABS/ASR/ESC/EBV/EDS,4.73,1.79,1.45,2.68,normal,yes,yes,yes,no,yes,5,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,Sedan,Sedan-Fullsize
VW,Saveiro,2024,"$322,670",N/A,2,1735,S,Gas,55,15.9,no,yes,712,disc_brakes,disc_brakes,ABS/ASR/ESC,4.49,1.7,1.49,2.75,normal,yes,no,no,no,no,4,no,no,no,yes,no,no,no,no,no,yes,yes,Pickup,Pickup-SmallSize
VW,Saveiro,2024,"$417,670",N/A,5,1740,S,Gas,55,15.9,no,yes,712,disc_brakes,disc_brakes,ABS/ASR/ESC,4.49,1.7,1.57,2.75,high,yes,no,no,no,yes,4,no,yes,no,yes,no,yes,no,no,yes,yes,yes,Pickup,Pickup-SmallSize
Kia,K3 Hatchback,2024,"$341,900","$461,900",5,1400,A/S,Gas,45,16.7,no,no,235,disc_brakes,disc_brakes,ABS/ESC/ADAS,4.29,1.76,1.49,2.67,normal,yes,yes,yes,no,yes,4,yes,yes,no,yes,yes,yes,no,yes,no,no,no,Hatchback,Ciudad
Kia,K3,2024,"$316,900","$458,900",5,1330,A/S,Gas,45,16.8,no,no,544,disc_brakes,disc_brakes,ABS/ESC/ADAS,4.54,1.76,1.47,2.67,normal,yes,yes,yes,no,yes,4,yes,yes,no,yes,yes,yes,no,yes,no,no,no,Sedan,Sedan-MidSize
Kia,Forte Hatchback,2024,"$448,900","$547,900",5,1555,A,Gas,50,17.02,no,no,400,disc_brakes,disc_brakes,ABS/ESC/VSM/ADAS,4.51,1.8,1.46,2.7,normal,yes,yes,yes,no,no,5,yes,yes,no,yes,yes,yes,no,yes,no,no,no,Hatchback,Sedan-MidSize
Kia,Forte,2024,"$387,900","$541,900",5,1707,A/S,Gas,50,17.07,no,no,600,disc_brakes,disc_brakes,ABS/ESC/VSM/ADAS,4.64,1.8,1.45,2.7,normal,yes,yes,yes,no,no,5,yes,yes,no,yes,yes,yes,no,yes,no,no,no,Sedan,Sedan-MidSize
Kia,Sonet,2024,"$372,900","$452,900",5,1560,A/S,Gas,45,17.47,no,no,385,disc_brakes,disc_brakes,ABS/ESC/ADAS,4.11,1.79,1.64,2.5,normal,yes,yes,yes,no,yes,3,yes,yes,no,yes,yes,yes,no,no,no,no,no,SUV,SUV-SmallSize
